Paper Title,Subarea,Detailed Class,Score
Sysformer: Safeguarding Frozen Large Language Models with Adaptive System Prompts,Threat Modeling & Evaluations,Safeguards,7.0
Safety at One Shot: Patching Fine-Tuned LLMs with A Single Instance,Capability Control & Unlearning,Alignment Training,6.0
Thought Branches: Interpreting LLM Reasoning Requires Resampling,Interpretability & Understanding,Interpretability,7.0
Neologism Learning for Controllability and Self-Verbalization,Interpretability & Understanding,Interpretability,5.0
Markovian Transformers for Informative Language Modeling,Interpretability & Understanding,Monitoring,6.0
Latent Veracity Inference for Identifying Errors in Stepwise Reasoning,Interpretability & Understanding,Monitoring,5.0
From Concepts to Components: Concept-Agnostic Attention Module Discovery in Transformers,Interpretability & Understanding,Interpretability,4.0
Into the Rabbit Hull: From Task-Relevant Concepts in DINO to Minkowski Geometry,Interpretability & Understanding,Interpretability,3.0
Jailbreak Transferability Emerges from Shared Representations,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
Learning multimodal dictionary decompositions with group-sparse autoencoders,Interpretability & Understanding,Interpretability,4.0
MCP-SafetyBench: A Benchmark for Safety Evaluation of Large Language Models with Real-World MCP Servers,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
VoxPrivacy: A Benchmark for Evaluating Interactional Privacy of Speech Language Models,Capability Control & Unlearning,Alignment Training,6.0
Addressing divergent representations from causal interventions on neural networks,Interpretability & Understanding,Interpretability,5.0
A Guardrail for Safety Preservation: When Safety-Sensitive Subspace Meets Harmful-Resistant Null-Space,Capability Control & Unlearning,Alignment Training,7.0
Steering Language Models with Weight Arithmetic,Interpretability & Understanding,Monitoring,7.0
What's the plan? Metrics for implicit planning in LLMs and their application to rhyme generation and question answering,Interpretability & Understanding,Interpretability,3.0
Constitutional Classifiers++: Efficient Production-Grade Defenses against Universal Jailbreaks,Threat Modeling & Evaluations,Safeguards,7.0
Learning to Interpret Weight Differences in Language Models,Interpretability & Understanding,Interpretability,4.0
Learning to Lie: Adversarial Attacks on Human-AI Teams and LLMs,Threat Modeling & Evaluations,Scheming and Deception,5.0
ContextBench: Modifying Contexts for Targeted Latent Activation and Behaviour Elicitation,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
Beyond Prompt-Induced Lies: Investigating LLM Deception on Benign Prompts,Threat Modeling & Evaluations,Scheming and Deception,7.0
Linking Process to Outcome: Conditional Reward Modeling for LLM Reasoning,Capability Control & Unlearning,Alignment Training,4.0
DualEdit: Mitigating Safety Fallback in LLM Backdoor Editing via Affirmation-Refusal Regulation,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
Output Supervision Can Obfuscate the Chain of Thought,Interpretability & Understanding,Monitoring,7.0
GuardAlign: Test-time Safety Alignment in Multimodal Large Language Models,Threat Modeling & Evaluations,Safeguards,6.0
COMAL: A Convergent Meta-Algorithm for Aligning LLMs with General Preferences,Scalable Oversight & Value Learning,Scalable Oversight,6.0
Is it Thinking or Cheating?  Detecting Implicit Reward Hacking by Measuring Reasoning Effort,Scalable Oversight & Value Learning,Scalable Oversight,7.0
Compositional Generalization from Learned Skills via CoT Training: A Theoretical and Structural Analysis for Reasoning,Interpretability & Understanding,Interpretability,3.0
From Evaluation to Defense: Advancing Safety in Video Large Language Models,Capability Control & Unlearning,Alignment Training,7.0
On Robustness of Vision-Language-Action Model against Multi-Modal Perturbations,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
MCP Security Bench (MSB): Benchmarking Attacks Against Model Context Protocol in LLM Agents,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Deep Ignorance: Filtering Pretraining Data Builds Tamper-Resistant Safeguards into Open-Weight LLMs,Threat Modeling & Evaluations,Biorisk,7.0
Understanding Cross-layer Contributions to Mixture-of-Experts Routing in LLMs,Interpretability & Understanding,Interpretability,5.0
Rethinking Bottlenecks in Safety Fine-Tuning of Vision Language Models,Capability Control & Unlearning,Alignment Training,5.0
Discern Truth from Falsehood: Reducing Over-Refusal via Contrastive Refinement,Capability Control & Unlearning,Alignment Training,6.0
"Task Vectors, Learned Not Extracted: Performance Gains and Mechanistic Insights",Interpretability & Understanding,Interpretability,3.0
Spilling the Beans: Teaching LLMs to Self-Report Their Hidden Objectives,Capability Control & Unlearning,Alignment Training,6.0
Reliable Weak-to-Strong Monitoring of LLM Agents,Interpretability & Understanding,Monitoring,7.0
When Reasoning Meets Compression: Understanding the Effects of LLMs Compression on Large Reasoning Models,Interpretability & Understanding,Interpretability,3.0
Be Careful When Fine-tuning On Open-Source LLMs: Your Fine-tuning Data Could Be Secretly Stolen!,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Video Unlearning via Low-Rank Refusal Vector,Capability Control & Unlearning,Alignment Training,7.0
What's In My Human Feedback? Learning Interpretable Descriptions of Preference Data,Scalable Oversight & Value Learning,Scalable Oversight,5.0
ASIDE: Architectural Separation of Instructions and Data in Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
ELEPHANT: Measuring and understanding social sycophancy in LLMs,Scalable Oversight & Value Learning,Scalable Oversight,6.0
Language Models are Injective and Hence Invertible,Interpretability & Understanding,Interpretability,6.0
Get RICH or Die Scaling: Profitably Trading Inference Compute for Robustness,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Latent Thinking Optimization: Your Latent Reasoning Language Model Secretly Encodes Reward Signals in Its Latent Thoughts,Interpretability & Understanding,Interpretability,4.0
LH-DECEPTION: Simulating and Understanding LLM Deceptive Behaviors in Long-Horizon Interactions,Threat Modeling & Evaluations,Scheming and Deception,7.0
Jailbreaking the Matrix: Nullspace Steering for Controlled Model Subversion,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Adversarial Attacks Already Tell the Answer: Directional Bias-Guided Test-time Defense for Vision-Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Measuring and Mitigating Rapport Bias of Large Language Models under Multi-Agent Social Interactions,Scalable Oversight & Value Learning,Multi-Agent Safety,5.0
Automatic Dialectic Jailbreak: A Framework for Generating Effective Jailbreak Strategies,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
DUET: Distilled LLM Unlearning from an Efficiently Contextualized Teacher,Capability Control & Unlearning,Alignment Training,4.0
Transferable and Stealthy Adversarial Attacks on Large Vision-Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
