Paper Title,Subarea,Detailed Class,Score
Controlling Underestimation Bias in Constrained Reinforcement Learning for Safe Exploration,Capability Control & Unlearning,Alignment Training,7.0
Raising the Bar: Investigating the Values of Large Language Models via Generative Evolving Testing,Threat Modeling & Evaluations,Safeguards,6.0
De-mark: Watermark Removal in Large Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
Automatically Interpreting Millions of Features in Large Language Models,Interpretability & Understanding,Interpretability,4.0
InfAlign: Inference-aware language model alignment,Capability Control & Unlearning,Alignment Training,5.0
No Soundness in the Real World: On the Challenges of the Verification of Deployed Neural Networks,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
AutoAdvExBench: Benchmarking Autonomous Exploitation of Adversarial Example Defenses,Threat Modeling & Evaluations,Dangerous Capability Evals,6.0
Discovering Spoofing Attempts on Language Model Watermarks,Threat Modeling & Evaluations,Safeguards,7.0
AssistanceZero: Scalably Solving Assistance Games,Scalable Oversight & Value Learning,Scalable Oversight,4.0
Great Models Think Alike and this Undermines AI Oversight,Scalable Oversight & Value Learning,Scalable Oversight,7.0
Optimizing Adaptive Attacks against Watermarks for Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Weak-to-Strong Jailbreaking on Large Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
FlipAttack: Jailbreak LLMs via Flipping,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective,Interpretability & Understanding,Interpretability,3.0
Adversarial Inception Backdoor Attacks against Reinforcement Learning,"Robustness, Defense & Systemic Control",Red-Teaming,4.0
General agents need world models,Agent Foundations & Alignment Theory,Agent Foundations,3.0
Speak Easy: Eliciting Harmful Jailbreaks from LLMs with Simple Interactions,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
LlavaGuard: An Open VLM-based Framework for Safeguarding Vision Datasets and Models,Threat Modeling & Evaluations,Safeguards,7.0
Black-Box Adversarial Attacks on LLM-Based Code Completion,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Interpreting CLIP with Hierarchical Sparse Autoencoders,Interpretability & Understanding,Interpretability,5.0
A Causal World Model Underlying Next Token Prediction: Exploring GPT in a Controlled Environment,Interpretability & Understanding,Interpretability,3.0
A Lens into Interpretable Transformer Mistakes via Semantic Dependency,Interpretability & Understanding,Interpretability,3.0
Adversaries Can Misuse Combinations of Safe Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Strategy Coopetition Explains the Emergence and Transience of In-Context Learning,Interpretability & Understanding,Interpretability,3.0
RuleAdapter: Dynamic Rules for training Safety Reward Models in RLHF,Capability Control & Unlearning,Alignment Training,6.0
Self-Consuming Generative Models with Adversarially Curated Data,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Compute Optimal Inference and Provable Amortisation Gap in Sparse Autoencoders,Interpretability & Understanding,Interpretability,3.0
ICLShield: Exploring and Mitigating In-Context Learning Backdoor Attacks,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Are Sparse Autoencoders Useful? A Case Study in Sparse Probing,Interpretability & Understanding,Interpretability,3.0
Learning Safety Constraints for Large Language Models,Threat Modeling & Evaluations,Safeguards,7.0
Extractive Structures Learned in Pretraining Enable Generalization on Finetuned Facts,Interpretability & Understanding,Interpretability,3.0
Archetypal SAE: Adaptive and Stable Dictionary Learning for Concept Extraction in Large Vision Models,Interpretability & Understanding,Interpretability,3.0
Interpreting the Repeated Token Phenomenon in Large Language Models,Interpretability & Understanding,Interpretability,7.0
"Focus On This, Not That! Steering LLMs with Adaptive Feature Specification",Capability Control & Unlearning,Alignment Training,5.0
Online Learning with Unknown Constraints,Agent Foundations & Alignment Theory,Agent Foundations,4.0
Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs,Threat Modeling & Evaluations,Model Organisms,6.0
Wolfpack Adversarial Attack for Robust Multi-Agent Reinforcement Learning,Scalable Oversight & Value Learning,Multi-Agent Safety,4.0
CVE-Bench: A Benchmark for AI Agents’ Ability to Exploit Real-World Web Application Vulnerabilities,Threat Modeling & Evaluations,Dangerous Capability Evals,5.0
Analyze Feature Flow to Enhance Interpretation and Steering in Language Models,Interpretability & Understanding,Interpretability,7.0
Towards Understanding Fine-Tuning Mechanisms of LLMs via Circuit Analysis,Interpretability & Understanding,Interpretability,3.0
To Steer or Not to Steer? Mechanistic Error Reduction with Abstention for Language Models,Interpretability & Understanding,Interpretability,7.0
Safe Delta: Consistently Preserving Safety when Fine-Tuning LLMs on Diverse Datasets,Capability Control & Unlearning,Alignment Training,7.0
Discrepancies are Virtue: Weak-to-Strong Generalization through Lens of Intrinsic Dimension,Scalable Oversight & Value Learning,Scalable Oversight,3.0
ELITE: Enhanced Language-Image Toxicity Evaluation for Safety,Threat Modeling & Evaluations,Dangerous Capability Evals,6.0
LLM Alignment as Retriever Optimization: An Information Retrieval Perspective,Capability Control & Unlearning,Alignment Training,5.0
Low-Rank Adapting Models for Sparse Autoencoders,Interpretability & Understanding,Interpretability,3.0
Evaluating Neuron Explanations: A Unified Framework with Sanity Checks,Interpretability & Understanding,Interpretability,7.0
Detecting Strategic Deception with Linear Probes,Interpretability & Understanding,Monitoring,6.0
SAeUron: Interpretable Concept Unlearning in Diffusion Models with Sparse Autoencoders,Capability Control & Unlearning,Alignment Training,7.0
Beyond Bradley-Terry Models: A General Preference Model for Language Model Alignment,Scalable Oversight & Value Learning,Scalable Oversight,4.0
"Inducing, Detecting and Characterising Neural Modules: A Pipeline for Functional Interpretability in Reinforcement Learning",Interpretability & Understanding,Interpretability,5.0
LLMScan: Causal Scan for LLM Misbehavior Detection,Interpretability & Understanding,Monitoring,7.0
PoisonedEye: Knowledge Poisoning Attack on Retrieval-Augmented Generation based Large Vision-Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Cannot See the Forest for the Trees: Invoking Heuristics and Biases to Elicit Irrational Choices of LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
An Interpretable N-gram Perplexity Threat Model for Large Language Model Jailbreaks,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
Sum-of-Parts: Self-Attributing Neural Networks with End-to-End Learning of Feature Groups,Interpretability & Understanding,Interpretability,3.0
Revealing Weaknesses in Text Watermarking Through Self-Information Rewrite Attacks,"Robustness, Defense & Systemic Control",Red-Teaming,4.0
SEMU: Singular Value Decomposition for Efficient Machine Unlearning,Capability Control & Unlearning,Alignment Training,5.0
IBCircuit: Towards Holistic Circuit Discovery with Information Bottleneck,Interpretability & Understanding,Interpretability,5.0
MP-Nav: Enhancing Data Poisoning Attacks against Multimodal Learning,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
TRUST-VLM: Thorough Red-Teaming for Uncovering Safety Threats in Vision-Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
The Hidden Dimensions of LLM Alignment: A Multi-Dimensional Analysis of Orthogonal Safety Directions,Interpretability & Understanding,Interpretability,7.0
Probably Approximately Global Robustness Certification,"Robustness, Defense & Systemic Control",Adversarial Robustness,3.0
The Complexity of Learning Sparse Superposed Features with Feedback,Interpretability & Understanding,Interpretability,3.0
Fragments to Facts: Partial-Information Fragment Inference from LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
Rejecting Hallucinated State Targets during Planning,Threat Modeling & Evaluations,Safeguards,3.0
Constrained Belief Updates Explain Geometric Structures in Transformer Representations,Interpretability & Understanding,Interpretability,6.0
The Limits of Predicting Agents from Behaviour,Agent Foundations & Alignment Theory,Agent Foundations,3.0
Model Immunization from a Condition Number Perspective,Capability Control & Unlearning,Alignment Training,6.0
Heads up! Large Language Models Can Perform Tasks Without Your Instruction via Selective Attention Head Masking,Interpretability & Understanding,Interpretability,4.0
ProSec: Fortifying Code LLMs with Proactive Security Alignment,Capability Control & Unlearning,Alignment Training,7.0
Latent Preference Coding: Aligning Large Language Models via Discrete Latent Codes,Capability Control & Unlearning,Alignment Training,7.0
Inference-Time Decomposition of Activations (ITDA): A Scalable Approach to Interpreting Large Language Models,Interpretability & Understanding,Interpretability,3.0
Off-Policy Actor-Critic for Adversarial Observation Robustness: Virtual Alternative Training via Symmetric Policy Evaluation,"Robustness, Defense & Systemic Control",Adversarial Robustness,3.0
Test-Time Preference Optimization: On-the-Fly Alignment via Iterative Textual Feedback,Threat Modeling & Evaluations,Safeguards,7.0
PILAF: Optimal Human Preference Sampling for Reward Modeling,Capability Control & Unlearning,Alignment Training,6.0
Minimalist Concept Erasure in Generative Models,Capability Control & Unlearning,Alignment Training,6.0
The Energy Loss Phenomenon in RLHF: A New Perspective on Mitigating Reward Hacking,Capability Control & Unlearning,Alignment Training,7.0
Backdoor Attacks in Token Selection of Attention Mechanism,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
Improving Zero-Shot Adversarial Robustness in Vision-Language Models by Closed-form Alignment of Adversarial Path Simplices,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Blink of an eye: a simple theory for feature localization in generative models,Interpretability & Understanding,Interpretability,3.0
Adaptive Localization of Knowledge Negation for Continual LLM Unlearning,Capability Control & Unlearning,Alignment Training,5.0
Representation Shattering in Transformers: A Synthetic Study with Knowledge Editing,Interpretability & Understanding,Interpretability,7.0
Mixture of Experts Made Intrinsically Interpretable,Interpretability & Understanding,Interpretability,7.0
Safety Reasoning with Guidelines,Capability Control & Unlearning,Alignment Training,7.0
HPS: Hard Preference Sampling for Human Preference Alignment,Capability Control & Unlearning,Alignment Training,6.0
Layer-wise Alignment: Examining Safety Alignment Across Image Encoder Layers in Vision Language Models,Capability Control & Unlearning,Alignment Training,6.0
Universal Sparse Autoencoders: Interpretable Cross-Model Concept Alignment,Interpretability & Understanding,Interpretability,3.0
X-Transfer Attacks: Towards Super Transferable Adversarial Attacks on CLIP,"Robustness, Defense & Systemic Control",Red-Teaming,4.0
Avoiding Catastrophe in Online Learning by Asking for Help,Agent Foundations & Alignment Theory,Agent Foundations,4.0
Exploring Criteria of Loss Reweighting to Enhance LLM Unlearning,Capability Control & Unlearning,Alignment Training,5.0
Safety Alignment Can Be Not Superficial With Explicit Safety Signals,Threat Modeling & Evaluations,Safeguards,7.0
Antidote: Post-fine-tuning Safety Alignment for Large Language Models against Harmful Fine-tuning Attack,Capability Control & Unlearning,Alignment Training,6.0
STAIR: Improving Safety Alignment with Introspective Reasoning,Capability Control & Unlearning,Alignment Training,6.0
EraseAnything: Enabling Concept Erasure in Rectified Flow Transformers,Capability Control & Unlearning,Alignment Training,6.0
Clone-Robust AI Alignment,Capability Control & Unlearning,Alignment Training,3.0
Variance as a Catalyst: Efficient and Transferable Semantic Erasure Adversarial Attack for Customized Diffusion Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
GRU: Mitigating the Trade-off between Unlearning and Retention for LLMs,Capability Control & Unlearning,Alignment Training,7.0
