Paper Title,Subarea,Detailed Class,Score
Sparse Tokens Suffice: Jailbreaking Audio Language Models via Token-Aware Gradient Optimization,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Distortion of AI Alignment Revisited: RLHF is a Decent Utilitarian Aligner,Scalable Oversight & Value Learning,Scalable Oversight,4.0
Acoustic Interference: A New Paradigm Weaponizing Acoustic Latent Semantic for Universal Jailbreak against Large Audio Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Different Usage of Shared Components Explains Behavioral Variance in LLMs,Interpretability & Understanding,Interpretability,5.0
Jailbreak to Protect: Buffering Harmful Fine-Tuning via Temporary Jailbreaking LoRA in Large Language Models,Capability Control & Unlearning,Alignment Training,7.0
Guaranteed Optimal Compositional Explanations for Neurons,Interpretability & Understanding,Interpretability,3.0
SafeSpec: Fast and Safe LLM via Dynamic Reflective Sampling,Threat Modeling & Evaluations,Safeguards,7.0
Real-Time Visual Attribution Streaming in Thinking Model,Interpretability & Understanding,Interpretability,5.0
Removing Sandbagging in LLMs by Training with Weak Supervision,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Differential syntactic and semantic encoding in LLMs,Interpretability & Understanding,Interpretability,3.0
Learning Self-Interpretation from Interpretability Artifacts: Training Lightweight Adapters on Vector-Label Pairs,Interpretability & Understanding,Interpretability,6.0
Disentangling Intent from Role: Adversarial Self-Play for Persona-Invariant Safety Alignment,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
OSCS: Online Selection with Provable FAR Control for LLM Safety,Threat Modeling & Evaluations,Safeguards,6.0
"Unbiased Principles, Robust Rewards",Capability Control & Unlearning,Alignment Training,5.0
Towards Fine-grained Robustness: Attention-guided Test-time Prompt Tuning for Vision-Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
UnHype: CLIP-Guided Hypernetworks for Dynamic LoRA Unlearning,Capability Control & Unlearning,Alignment Training,7.0
A Positive Case for Faithfulness: Explanations Help Predict Model Behavior,Interpretability & Understanding,Interpretability,7.0
Real-Time Monitoring and Calibration of Chain-of-Thought Sycophancy in Large Reasoning Models,Interpretability & Understanding,Monitoring,7.0
Protein Circuit Tracing via Cross-layer Transcoders,Interpretability & Understanding,Interpretability,4.0
FLIPS: Instance-Fingerprinting for LLMs via Pseudo-random Sequences,Technical Governance & Policy,Policy and Governance,4.0
"Position: Generative Engine Optimization Creates Underexamined Risks, Governance Must Target Concentration, Disclosure, and Academic Blind Spots",Technical Governance & Policy,Policy and Governance,3.0
Distributional Open-Ended Evaluation of LLM Cultural Value Alignment Based on Value Codebook,Scalable Oversight & Value Learning,Scalable Oversight,6.0
MemIncept: Steering LLM Agents via Cooperative Stealthy Memory Injections,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
"Tiny Brains, Giant Impact: Uncovering the Keystone Neurons of LLM with Just a Few Prompts",Interpretability & Understanding,Interpretability,3.0
Semantic-level Backdoor Attack against Text-to-Image Diffusion Models,"Robustness, Defense & Systemic Control",Red-Teaming,3.0
Where Concept Erasure Should Occur: Concept–Layer Alignment in Text-to-Video Diffusion Models,Capability Control & Unlearning,Alignment Training,3.0
At the Edge of Understanding: Sparse Autoencoders Trace The Limits of Transformer Generalization,Interpretability & Understanding,Interpretability,6.0
VLA-Arena: An Open-Source Framework for Benchmarking Vision-Language-Action Models,Threat Modeling & Evaluations,Dangerous Capability Evals,3.0
Pareto-Guided Optimal Transport for Multi-Reward Alignment,Capability Control & Unlearning,Alignment Training,7.0
Trojan-Speak: Bypassing Constitutional Classifiers with No Jailbreak Tax via Adversarial Finetuning,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
CyberCycle: Scalable Real-World Benchmark for AI Agents' End-to-End Cybersecurity Capabilities,Threat Modeling & Evaluations,Dangerous Capability Evals,6.0
Stable-GFlowNet: Toward Diverse and Robust LLM Red-Teaming via Contrastive Trajectory Balance,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
"Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics",Interpretability & Understanding,Interpretability,3.0
Judgment Operators: A Composition-Invariant Substrate for Multi-Agent Action Spaces,Scalable Oversight & Value Learning,Multi-Agent Safety,6.0
The Information Geometry of Softmax: Probing and Steering,Interpretability & Understanding,Interpretability,4.0
Statistically Undetectable Backdoors in Deep Neural Networks,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Speech-Audio Compositional Attacks on Multimodal LLMs and Their Defense with SALMONN-Guard,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
A World in Pieces: Structural Certification of General Agents,Threat Modeling & Evaluations,Control,6.0
Innovation: An Almost Characterization of Hallucination,Agent Foundations & Alignment Theory,Agent Foundations,3.0
Mirror Descent Policy Optimisation for Robust Constrained Markov Decision Processes,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Broadening the Backdoor Basin: Understanding LLM Backdoors Collapse and Making Backdoors Persistent,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
BRIDGE: Predicting Human Task Completion Time From Model Performance,Technical Governance & Policy,Strategy and Forecasting,3.0
DLM-Scope: Mechanistic Interpretability of Diffusion Language Models via Sparse Autoencoders,Interpretability & Understanding,Interpretability,4.0
SVD as a Fast Interpretability Method for Transformers,Interpretability & Understanding,Interpretability,4.0
Query Circuits: Explaining How Language Models Answer User Prompts,Interpretability & Understanding,Interpretability,5.0
A Distributional View for Visual Mechanistic Interpretability: KL-Minimal Soft-Constraint Principle,Interpretability & Understanding,Interpretability,3.0
C$^{2}$R: Cross-sample Consistency Regularization Mitigates Feature Splitting and Absorption in Sparse Autoencoders,Interpretability & Understanding,Interpretability,7.0
Certified Circuits: Stability Guarantees for Mechanistic Circuits,Interpretability & Understanding,Interpretability,5.0
Domain Restriction via SAE Multi-Layer Transitions,Interpretability & Understanding,Interpretability,4.0
VALUEFLOW: Toward Pluralistic and Steerable Value-based Alignment in Large Language Models,Capability Control & Unlearning,Alignment Training,7.0
Probing Cross-modal Information Hubs in Audio-Visual LLMs,Interpretability & Understanding,Interpretability,3.0
Position: Bridge the Gaps between AI Development and Regulation,Technical Governance & Policy,Policy and Governance,4.0
Dual Mechanisms of Value Expression: Intrinsic vs. Prompted Values in Large Language Models,Interpretability & Understanding,Interpretability,5.0
Transitivity Meets Cyclicity: Explicit Preference Decomposition for Dynamic Large Language Model Alignment,Capability Control & Unlearning,Alignment Training,5.0
Split Personality Training: Revealing Latent Knowledge Through Alternate Personalities,Threat Modeling & Evaluations,Scheming and Deception,7.0
Interpreting and Enhancing Emotional Circuits in Large Vision-Language Models via Cross-Modal Information Flow,Interpretability & Understanding,Interpretability,3.0
Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,Threat Modeling & Evaluations,Scheming and Deception,4.0
Multi-Adapter Representation Interventions via Energy Calibration,Threat Modeling & Evaluations,Safeguards,6.0
Metis: Learning to Jailbreak LLMs via Self-Evolving Metacognitive Policy Optimization,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
OpenDeception: Learning Deception and Trust in Human–AI Interaction via Multi-Agent Simulation,Threat Modeling & Evaluations,Scheming and Deception,7.0
Position: Solipsistic superintelligence is unlikely to be cooperative,Scalable Oversight & Value Learning,Multi-Agent Safety,3.0
Reasoning Models Struggle to Control their Chains of Thought,Interpretability & Understanding,Monitoring,7.0
Exploration Hacking: LLMs Can Learn to Resist RL Training,Threat Modeling & Evaluations,Model Organisms,7.0
Securing Multimodal AI through Internal Information Decomposition,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Debate with Images: Detecting Deceptive Behaviors in Multimodal Large Language Models,Threat Modeling & Evaluations,Scheming and Deception,7.0
Position: Safe AI Should be Resistant and Resilient in an Evolving World,Threat Modeling & Evaluations,Safeguards,4.0
Language Model Circuits Are Sparse in the Neuron Basis,Interpretability & Understanding,Interpretability,3.0
How does information access affect LLM monitors' ability to detect sabotage?,Interpretability & Understanding,Monitoring,7.0
Sparse but Wrong: Incorrect L0 Leads to Incorrect Features in Sparse Autoencoders,Interpretability & Understanding,Interpretability,6.0
Learning Efficient Guardrails for Compliance,Threat Modeling & Evaluations,Safeguards,7.0
BLOCK-EM: Preventing Emergent Misalignment via Latent Blocking,Capability Control & Unlearning,Alignment Training,7.0
REALISTA: Realistic Latent Adversarial Attacks that Elicit LLM Hallucinations,"Robustness, Defense & Systemic Control",Red-Teaming,5.0
Meerkat-VL: Implicit Risk Safety Alignment in Multimodal LLMs via Perceptual Reasoning and Self-Verification,Capability Control & Unlearning,Alignment Training,7.0
Reward Shaping for Inference-Time Alignment: A Stackelberg Game Perspective,Capability Control & Unlearning,Alignment Training,5.0
Calibrating Uncertainty for Zero-Shot Adversarial CLIP,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models,Interpretability & Understanding,Interpretability,7.0
The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,Threat Modeling & Evaluations,Scheming and Deception,7.0
Unsafer in Many Turns: Benchmarking and Defending Multi-Turn Safety Risks in Tool-Using Agents,Threat Modeling & Evaluations,Safeguards,7.0
TokenSwap: Backdoor Attack on the Compositional Understanding of Large Vision-Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Revisiting Robustness for LLM Safety Alignment via Selective Geometry Control,Capability Control & Unlearning,Alignment Training,7.0
SARSteer: Safeguarding Large Audio Language Models via Safe-Ablated Refusal Steering,Threat Modeling & Evaluations,Safeguards,7.0
MultiBreak: A Scalable and Diverse Multi-turn Jailbreak Benchmark for Evaluating LLM Safety,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Are Your Agents Upward Deceivers?,Threat Modeling & Evaluations,Scheming and Deception,6.0
ImpText: A Benchmark and Tool-Augmented Framework for Implicit Text Reasoning,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
INDEXGUARD: Index-only Backdoor Vetting for Secure Federated PEFT of Large Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Learning a Generative Meta-Model of LLM Activations,Interpretability & Understanding,Interpretability,4.0
Simultaneous Multi-objective Alignment Across Verifiable and Non-verifiable Rewards,Capability Control & Unlearning,Alignment Training,4.0
Decomposing Query-Key Feature Interactions Using Contrastive Covariances,Interpretability & Understanding,Interpretability,6.0
Preference-Calibrated Optimization with Score-Level Distribution Alignment for Text-to-Image Diffusion Model Unlearning,Capability Control & Unlearning,Alignment Training,4.0
"Conditional Equivalence of DPO and RLHF: Assumptions, Failure Modes, and Provable Alignment",Capability Control & Unlearning,Alignment Training,6.0
"Helpful to a Fault: Measuring Illicit Assistance in Multi-Turn, Multilingual LLM Agents","Robustness, Defense & Systemic Control",Red-Teaming,7.0
VENOMREC: Cross-Modal Interactive Poisoning for Targeted Promotion in Multimodal LLM Recommender Systems,"Robustness, Defense & Systemic Control",Red-Teaming,3.0
EMBGUARD: Constructing Hazard-Aware Guardrails for Safe Planning in Embodied Agents,Threat Modeling & Evaluations,Safeguards,7.0
"Forget to Know, Remember to Use: Context-Aware Unlearning for Large Language Models",Capability Control & Unlearning,Alignment Training,7.0
AutoRAS: Learning Robust Agentic Systems with Primitive Representations,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Orthogonal Concept Erasure for Diffusion Models,Capability Control & Unlearning,Alignment Training,7.0
Eyes-on-Me: Scalable RAG Poisoning through Transferable Attention-Steering Attractors,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
CoT is Not the Chain of Truth: An Empirical Internal Analysis of Reasoning LLMs for Fake News Generation,Interpretability & Understanding,Interpretability,7.0
BARRED: Synthetic Training of Custom Policy Guardrails via Asymmetric Debate,Threat Modeling & Evaluations,Safeguards,5.0
DB-KSVD: Scalable Alternating Optimization for Disentangling High-Dimensional Embedding Spaces,Interpretability & Understanding,Interpretability,4.0
Less is More: Geometric Unlearning for LLMs with Minimal Data Disclosure,Capability Control & Unlearning,Alignment Training,7.0
Beyond External Monitors: Enhancing Transparency of Large Language Models for Easier Monitoring,Interpretability & Understanding,Monitoring,4.0
Gradient Regularization Prevents Reward Hacking in Reinforcement Learning from Human Feedback and Verifiable Rewards,Capability Control & Unlearning,Alignment Training,5.0
The Secret Engine Behind RLHF: It's Contarstive Learning All Along,Capability Control & Unlearning,Alignment Training,3.0
Angel or Demon: Investigating the Plasticity Interventions' Impact on Backdoor Threats in Deep Reinforcement Learning,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Mechanisms of Introspective Awareness,Interpretability & Understanding,Interpretability,5.0
Endogenous Resistance to Activation Steering in Language Models: Evidence for Internal Consistency Monitoring in Llama-3.3-70B,Interpretability & Understanding,Interpretability,4.0
The Shape of Addition: Geometric Structures of Arithmetic in Large Language Models,Interpretability & Understanding,Interpretability,5.0
SafeSci: Safety Evaluation of Large Language Models in Science Domains and Beyond,Threat Modeling & Evaluations,Dangerous Capability Evals,6.0
Multimodal Function Vectors for Spatial Relations,Interpretability & Understanding,Interpretability,4.0
Reward Auditor: Inference on Reward Modeling Suitability in Real-World Perturbed Scenarios,Threat Modeling & Evaluations,Safeguards,7.0
Reasoning over Boundaries: Enhancing Specification Alignment via Test-time Deliberation,Threat Modeling & Evaluations,Safeguards,6.0
Towards Feedback-to-Plan Decisions for Self-Evolving LLM Agents in CUDA Kernel Generation,Interpretability & Understanding,Interpretability,3.0
Visual Persuasion: What Influences Decisions of Vision-Language Models?,Interpretability & Understanding,Interpretability,3.0
Provably Protecting Fine-Tuned LLMs from Training Data Extraction,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Proactive Defense Benchmark against Deepfake Generation,Threat Modeling & Evaluations,Safeguards,5.0
Step-resolved data attribution for looped transformers,Interpretability & Understanding,Interpretability,3.0
Reflector: Internalizing Step-wise Reflection against Indirect Jailbreaks,Threat Modeling & Evaluations,Safeguards,7.0
Towards Understanding Modality Interaction in Multimodal Language Models via Partial Information Decomposition,Interpretability & Understanding,Interpretability,3.0
"Position: AI Lock-In Is in Progress, and We Must Be Prepared",Technical Governance & Policy,Strategy and Forecasting,3.0
Equivalence of Context and Parameter Updates in Modern Transformer Blocks,Interpretability & Understanding,Interpretability,3.0
MESA: Improving MoE Safety Alignment via Decentralized Expertise,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
$E^2$PO: Embedding-perturbed Exploration Preference Optimization for Flow Models,Capability Control & Unlearning,Alignment Training,5.0
Reverse-Engineering Model Editing on Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Concept Concentration for Faithful Representation Intervention,Capability Control & Unlearning,Alignment Training,7.0
New Wide-Net-Casting Jailbreak Attacks Risk Large Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
AutoControl Arena: Synthesizing Executable Test Environments for Frontier AI Risk Evaluation,Threat Modeling & Evaluations,Dangerous Capability Evals,7.0
Embodied Interpretability: Linking Causal Understanding to Generalization in Vision-Language-Action Models,Interpretability & Understanding,Interpretability,5.0
CoopEval: Benchmarking Cooperation-Sustaining Mechanisms and LLM Agents in Social Dilemmas,Scalable Oversight & Value Learning,Multi-Agent Safety,6.0
Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning,Interpretability & Understanding,Interpretability,6.0
Implicit Safety Alignment from Crowd Preferences,Capability Control & Unlearning,Alignment Training,7.0
Monitoring Monitorability,Interpretability & Understanding,Monitoring,7.0
Position: We Need Large Language Models Optimized For Our Well-Being,Scalable Oversight & Value Learning,Scalable Oversight,3.0
Risk Awareness Injection: Calibrating Vision-Language Models for Safety without Compromising Utility,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Inference Time Concept Removal Guidance for Text-to-Image Diffusion Models,Threat Modeling & Evaluations,Safeguards,7.0
SafeDec: Constrained Decoding for Safe Autoregressive Generalist Robot Navigation Policies,Threat Modeling & Evaluations,Safeguards,7.0
When Actions Go Off-Task: Detecting and Correcting Misaligned Actions in Computer-Use Agents,Threat Modeling & Evaluations,Safeguards,7.0
Persistent Semantic Entities in Tool-Augmented LLM Systems,Threat Modeling & Evaluations,Safeguards,7.0
Reward Hacking Benchmark: Measuring Exploits in LLM Agents with Tool Use,Threat Modeling & Evaluations,Scheming and Deception,7.0
Capability-Oriented Training Induced Alignment Risk,Scalable Oversight & Value Learning,Scalable Oversight,6.0
Leak@$k$: Unlearning Does Not Make LLMs Forget Under Probabilistic Decoding,Capability Control & Unlearning,Alignment Training,7.0
MetaOthello: A Controlled Study of Multiple World Models in Transformers,Interpretability & Understanding,Interpretability,6.0
CorrSteer: Generation-Time LLM Steering via Correlated Sparse Autoencoder Features,Interpretability & Understanding,Interpretability,4.0
Belief Dynamics Reveal the Dual Nature of In-Context Learning and Activation Steering,Interpretability & Understanding,Interpretability,3.0
Dismantling Pathological Shortcuts: A Causal Framework for Faithful LVLM Decoding,Interpretability & Understanding,Interpretability,4.0
SOPE: Situation-Aware and Statistically Indistinguishable Privacy Exfiltration for MCP-enabled Agents,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Systematic Failures in Collective Reasoning under Distributed Information in Multi-Agent LLMs,Scalable Oversight & Value Learning,Multi-Agent Safety,3.0
AIR: Improving Agent Safety through Incident Response,Threat Modeling & Evaluations,Safeguards,7.0
Unlearning in Diffusion Models: A Unified Framework with KL Divergence and Likelihood Constraints,Capability Control & Unlearning,Alignment Training,5.0
How Can I Publish My LLM Benchmark Without Giving the True Answers Away?,Threat Modeling & Evaluations,Safeguards,7.0
Discovering Interpretable Algorithms by Decompiling Transformers to RASP,Interpretability & Understanding,Interpretability,3.0
Query Lens: Interpreting Sparse Key-Value Features with Indirect Effects,Interpretability & Understanding,Interpretability,6.0
Vulnerable Agent Identification in Large-Scale Multi-Agent Reinforcement Learning,Scalable Oversight & Value Learning,Multi-Agent Safety,5.0
Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,Interpretability & Understanding,Interpretability,7.0
Evaluating Contextual Illegality: AI Compliance in Corporate Law Scenarios,Threat Modeling & Evaluations,Safeguards,5.0
PolySAE: Modeling Feature Interactions in Sparse Autoencoders via Polynomial Decoding,Interpretability & Understanding,Interpretability,7.0
A Control-Theoretic View of Mamba on Stability and Robustness,Threat Modeling & Evaluations,Safeguards,3.0
Steering at the Source: Style Modulation Heads for Robust Persona Control,Interpretability & Understanding,Interpretability,5.0
"Position: Machine Learning Research Should Be Guided by Explicit, Pluralistic Models of Human Purpose",Scalable Oversight & Value Learning,Scalable Oversight,4.0
All Circuits Lead to Rome: Rethinking Functional Anisotropy in Circuit and Sheaf Discovery for LLMs,Interpretability & Understanding,Interpretability,6.0
Reasoning as an Attack Surface: Adaptive Evolutionary CoT Jailbreaks for LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
Efficient LLM Moderation with Multi-Layer Latent Prototypes,Threat Modeling & Evaluations,Safeguards,6.0
Position: Preparing for AI Systems That Deceive Developers,Threat Modeling & Evaluations,Scheming and Deception,3.0
Linear Ensembles Wash Away Watermarks: On the Fragility of Distributional Perturbations in LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,3.0
Contrastive Reasoning Alignment: Reinforcement Learning from Hidden Representations,Capability Control & Unlearning,Alignment Training,7.0
The Trojan Knowledge: Bypassing Commercial LLM Guardrails via Harmless Prompt Weaving and Adaptive Tree Search,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Position: The Term “Machine Unlearning” Is Overused in LLMs,Technical Governance & Policy,Policy and Governance,3.0
Just Ask: Curious Code Agents Reveal System Prompts in Frontier LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Speculative Safety Honeypot: Toward Proactive Defense Against Multi-turn Agent Attacks,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
Towards Steering without Sacrifice: Principled Training of Steering Vectors for Prompt-only Interventions,Threat Modeling & Evaluations,Safeguards,4.0
Lookahead-GCG: Improving Multi-Model Gradient-Based Jailbreaking Attacks via Nesterov Momentum,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Privacy Risks of Agentic Inferential Capabilities in Data Linkage Attacks,Threat Modeling & Evaluations,Dangerous Capability Evals,7.0
Detecting Fluent Optimization Based Adversarial Prompts via Sequential Entropy Changes,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
An Empirical Study of Memory Poisoning Defenses for LLM Agents,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
RLCracker: Evaluating the Worst-Case Vulnerability of LLM Watermarks with Adaptive RL Attacks,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
ZeroUnlearn: Few-Shot Knowledge Unlearning in Large Language Models,Capability Control & Unlearning,Alignment Training,6.0
Frontier Models Can Take Actions at Low Probabilities,Threat Modeling & Evaluations,Dangerous Capability Evals,6.0
Attacking Gray-Box Large Vision-Language Models with Adaptive SVD-Structured Adversarial Alignment,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
Poison with Style: A Practical Poisoning Attack on Code Large Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
ForceForget: Reinforcement Concept Removal for Enhancing Safety in Text-to-Image Models,Capability Control & Unlearning,Alignment Training,7.0
Regularization in the Axiomatic Approach to Learning from Human Preferences,Scalable Oversight & Value Learning,Scalable Oversight,3.0
From Parameter Dynamics to Risk Scoring: Quantifying Sample-Level Safety Degradation in LLM Fine-tuning,Interpretability & Understanding,Monitoring,7.0
"SpatialJB: How Text Distribution Art Becomes The ""Jailbreak Key"" for LLM Guardrails","Robustness, Defense & Systemic Control",Red-Teaming,7.0
Think Twice Before You Act: Protecting LLM Agents Against Tool Description Poisoning via Isolated Planning,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Structured Multi-step Jailbreaking under a Hamiltonian Generative Formulation,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Mechanistic Anomaly Detection via Functional Attribution,Interpretability & Understanding,Monitoring,3.0
From Poisoned to Aware: Fostering Backdoor Self-Awareness in LLMs,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Scam2Prompt: A Scalable Framework for Auditing Malicious Scam Endpoints in Production LLMs,Threat Modeling & Evaluations,Dangerous Capability Evals,7.0
