id,title,step1_class,is_safety,primary_objective_score,method_score,evaluation_score,total_score,subdomain,confidence,reasoning
vCmnu4q8C3,Adaptive Conformal Prediction via Mixture-of-Experts Gating Similarity,2,False,0,0,0,0,,high,"The paper focuses on conformal prediction and uncertainty quantification for reliability and calibration, which falls under standard reliability/XAI capabilities (Class 2)."
HB6KvsqcAn,Towards Physically Executable 3D Gaussian for Embodied Navigation,3,False,0,0,0,0,,high,"The paper focuses on improving 3D scene representation and navigation capabilities for embodied AI, with no mention of safety, alignment, or risk mitigation."
9EjZGs8ube,ODEBrain: Continuous-Time EEG Graph for Modeling Dynamic Brain Networks,3,False,0,0,0,0,,high,"The paper focuses on using Neural ODEs for EEG brain network modeling and forecasting, which is a general machine learning application for neuroscience with no AI safety or alignment motivation."
3hS7EtL4bV,PGRF-Net: A Prototype-Guided Relational Fusion Network for Diagnostic Multivariate Time-Series Anomaly Detection,2,False,0,0,0,0,,high,"The paper focuses on anomaly detection in multivariate time-series data with a goal of improving diagnostic transparency, which falls under standard XAI/reliability for narrow ML tasks."
y4nkSIOX8L,GaitSnippet: Gait Recognition Beyond Unordered Sets and Ordered Sequences,3,False,0,0,0,0,,high,"The paper focuses on improving the performance of gait recognition using a new snippet-based approach, with no mention of AI safety, alignment, or catastrophic risk."
os7OLubIMI,On learning linear dynamical systems in context with attention layers,3,False,0,0,0,0,,high,"The paper focuses on the expressive power and mathematical properties of attention layers for in-context learning of linear dynamical systems, which is a general capability/architectural study with no safety or alignment motivation."
LqazVN5epT,On Entropy Control in LLM-RL Algorithms,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and performance of RL algorithms for LLMs via entropy control, with no explicit safety or alignment motivation."
TEKOayiQg2,SongEcho: Towards Cover Song Generation via Instance-Adaptive Element-wise Linear Modulation,3,False,0,0,0,0,,high,"The paper focuses on a generative music task (cover song generation) and architectural improvements for conditional generation, with no mention of AI safety, alignment, or risk mitigation."
QGd34p02mI,Flower: A Flow-Matching Solver for Inverse Problems,3,False,0,0,0,0,,high,"The paper describes a generative model solver for linear inverse problems, focusing on reconstruction quality and performance rather than AI safety or alignment."
lJ7zecny2e,Towards Faithful Reasoning in Remote Sensing: A Perceptually-Grounded GeoSpatial Chain-of-Thought for Vision-Language Models,2,False,0,0,0,0,,high,"The paper focuses on improving the reliability and factual correctness of reasoning in remote sensing VLMs, which falls under standard hallucination mitigation and XAI capabilities for a specific domain."
kXhh2lToaR,Low-Rank Few-Shot Node Classification by Node-Level Graph Diffusion,3,False,0,0,0,0,,high,"The paper focuses on improving few-shot node classification in graphs using diffusion models and low-rank learning, with no mention of AI safety, alignment, or catastrophic risk."
7wjFjOzCtB,"No Prior, No Leakage: Revisiting Reconstruction Attacks in Trained Neural Networks",1,False,0,0,0,0,,high,"The paper focuses on data privacy and reconstruction attacks (memorization), which falls under traditional ML privacy and ethics (Class 1) rather than frontier AGI safety or misalignment."
3VIPmz7iAi,GTA1: GUI Test-time Scaling Agent,3,False,0,0,0,0,,high,"The paper focuses on improving the performance and grounding capabilities of GUI agents through test-time scaling and RL, with no mention of AI safety, alignment, or catastrophic risk."
dCJZR0P4T5,Stop Tracking Me! Proactive Defense Against Attribute Inference Attack in LLMs,1,False,0,0,0,0,,high,"The paper focuses on preventing attribute inference attacks to protect user privacy, which falls under traditional ML fairness, privacy, and ethics (Class 1)."
0nvQ5kHXf4,Efficient Resource-Constrained Training of Transformers via Subspace Optimization,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and memory usage of transformer training for on-device learning, which is a general capability/efficiency goal with no alignment or existential safety motivation."
QRSeFZfu8E,Generalizable End-to-End Tool-Use RL with Synthetic CodeGym,3,False,0,0,0,0,,high,"The paper focuses on improving the generalizability and performance of tool-use agents via a synthetic training framework, with no explicit safety or alignment motivation."
vjEl1PuIDE,AVoCaDO: An Audiovisual Video Captioner Driven by Temporal Orchestration,3,False,0,0,0,0,,high,"The paper focuses on improving audiovisual video captioning performance and temporal coherence, which is a general capability improvement with no safety or alignment motivation."
3qzgB7QIDl,Reducing Contextual Stochastic Bilevel Optimization via Structured Function Approximation,3,False,0,0,0,0,,high,"The paper focuses on the mathematical optimization of bilevel problems and sample complexity, with no mention of AI safety, alignment, or catastrophic risk."
aTVollXaaI,SPRINT: Sparse-Dense Residual Fusion for Efficient Diffusion Transformers,3,False,0,0,0,0,,high,"The paper focuses on improving the training and inference efficiency of Diffusion Transformers through token dropping and residual fusion, with no mention of safety, alignment, or risk mitigation."
7iXt44Actj,Value Matching: Scalable and Gradient-Free Reward-Guided Flow Adaptation,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and performance of reward optimization for diffusion models, which is a general capability improvement rather than an AI safety or alignment effort."
gdEWoxhb70,Learning Concept Bottleneck Models from Mechanistic Explanations,2,False,0,0,0,0,,high,"The paper focuses on Concept Bottleneck Models (CBMs) and XAI for improving the interpretability and performance of standard classifiers, which falls under Class 2."
mdw0vvRBEL,Truthfulness Despite Weak Supervision: Evaluating and Training LLMs Using Peer Prediction,4,True,3,2,1,6,Scalable Oversight,high,"The paper focuses on eliciting truthfulness from highly capable models using weak supervision and game-theoretic incentives to prevent deception, which is a core goal of scalable oversight."
5VXJPS1HoM,Veritas: Generalizable Deepfake Detection via Pattern-Aware Reasoning,2,False,0,0,0,0,,high,"The paper focuses on deepfake detection, which is a reliability and transparency issue for current-generation media, falling under Class 2."
bBPOcj5dOg,Queue Length Regret Bounds for Contextual Queueing Bandits,3,False,0,0,0,0,,high,"The paper focuses on a new framework for scheduling and learning in contextual queueing bandits, which is a standard machine learning/operations research problem with no safety or alignment motivation."
81PJ2KPnmK,DreamPhase: Offline Imagination and Uncertainty-Guided Planning for Large-Language-Model Agents,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and performance of LLM agents through offline imagination and planning, with 'safety' mentioned only as a general trade-off of existing methods rather than the primary research goal."
uqT7TAhwrm,DTP: Delta-Guided Two Stage Pruning for Mamba-based Multimodal Large Language Models,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and inference speed of Mamba-based multimodal models through token pruning, which is a general capability/performance improvement with no safety or alignment motivation."
h0iRgjTmVs,SiMO: Single-Modality-Operable Multimodal Collaborative Perception,3,False,0,0,0,0,,high,"The paper focuses on improving the robustness and performance of multimodal collaborative perception in autonomous sensing, which is a general capability/reliability issue rather than frontier AI safety or alignment."
Pa6ak2B9jJ,Auto-RT: Automatic Jailbreak Strategy Exploration for Red-Teaming Large Language Models,4,True,3,2,1,6,Red-Teaming,high,"The paper focuses on automating the discovery of jailbreak strategies to identify vulnerabilities in LLM safety guardrails, which is the core definition of red-teaming."
Bs4FbnrE82,Zero-shot Human Pose Estimation using Diffusion-based Inverse solvers,3,False,0,0,0,0,,high,"The paper focuses on improving the technical performance and generalization of human pose estimation using diffusion models, with no mention of AI safety, alignment, or catastrophic risk."
yz7fL5vfpn,Benchmarking LLM Tool-Use in the Wild,3,False,0,0,0,0,,high,"The paper focuses on improving and benchmarking the general capability of LLMs to use tools in complex real-world scenarios, with no mention of alignment, existential risk, or safety guardrails."
k6nTUFoqeT,FASTer: Toward Powerful and Efficient Autoregressive Vision–Language–Action Models with Learnable Action Tokenizer and Block-wise Decoding,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency, inference speed, and performance of vision-language-action models for robotics, with no mention of AI safety or alignment."
24QX6XpvSL,Histopathology-Genomics Multi-modal Structural Representation Learning for Data-Efficient Precision Oncology,3,False,0,0,0,0,,high,"The paper focuses on improving precision oncology through multi-modal representation learning and graph structure learning, with no mention of AI safety, alignment, or catastrophic risk."
sKMgGQQy7g,SesaHand: Enhancing 3D Hand Reconstruction via Controllable Generation with Semantic and Structural Alignment,3,False,0,0,0,0,,high,"The paper focuses on improving 3D hand reconstruction through better synthetic data generation, which is a general computer vision capability task with no safety or alignment motivation."
epbzV3FLcI,Online Navigation Refinement: Achieving Lane-Level Guidance by Associating Standard-Definition and Online Perception Maps,3,False,0,0,0,0,,high,"The paper focuses on improving lane-level navigation and map association for geographic information systems, which is a general capability/performance task with no safety or alignment motivation."
8tDIzHFOx6,SPR$^2$Q: Static Priority-based Rectifier Routing Quantization for Image Super-Resolution,3,False,0,0,0,0,,high,"The paper focuses on model quantization and efficiency for image super-resolution, which is a general capability improvement with no safety or alignment motivation."
1BXojAgNrg,MedAraBench: Large-scale Arabic Medical Question Answering Dataset and Benchmark,3,False,0,0,0,0,,high,"The paper focuses on creating a medical QA dataset and benchmark for Arabic language capabilities, with no mention of AI safety, alignment, or catastrophic risk."
3y3hnL7KhS,AEGIS: Adversarial Target-Guided Retention-Data-Free Robust Concept Erasure from Diffusion Models,4,True,3,2,1,6,Alignment Training,high,"The paper focuses on concept erasure (machine unlearning) to prevent the generation of harmful content in diffusion models, specifically addressing robustness against reactivation and retention of unrelated concepts."
hlLXvyz5iP,Reasoning-Aligned Perception Decoupling for Scalable Multi-modal Reasoning,3,False,0,0,0,0,,high,"The paper focuses on improving multi-modal reasoning performance through architectural decoupling and RL-based optimization, with no mention of AI safety, alignment, or catastrophic risk."
BqLGlQF46f,Beyond the Known: An Unknown-Aware Large Language Model for Open-Set Text Classification,2,False,0,0,0,0,,high,"The paper focuses on open-set text classification and out-of-distribution detection for general NLP usability, which falls under reliability and standard ML capabilities rather than frontier AI safety."
QmgEUx2Cd7,LORE: Jointly Learning The Intrinsic Dimensionality and Relative Similarity Structure from Ordinal Data,3,False,0,0,0,0,,high,"The paper describes a general machine learning framework for dimensionality reduction and ordinal embedding in psychophysics, with no mention of AI safety, alignment, or catastrophic risk."
3r68a6GOpg,ALM-MTA: Front-Door Causal Multi-Touch Attribution Method for Creator-Ecosystem Optimization,3,False,0,0,0,0,,high,"The paper focuses on causal inference for multi-touch attribution in recommendation systems to optimize creator ecosystems, which is a general capability/performance goal with no relation to AI safety."
dT3ZciXvNX,DexMove: Learning Tactile-Guided Non-Prehensile Manipulation with Dexterous Hands,3,False,0,0,0,0,,high,"The paper focuses on improving robotic manipulation capabilities and dexterity using tactile guidance, with no mention of AI safety, alignment, or catastrophic risk."
wZ4UoRKDNa,ssToken: Self-modulated and Semantic-aware Token Selection for LLM Fine-tuning,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and performance of supervised fine-tuning through token selection, with no explicit safety or alignment motivation."
FS1KoskTtD,Fathom-DeepResearch: Unlocking Long Horizon Information Retrieval and Synthesis for SLMs,3,False,0,0,0,0,,high,"The paper focuses on improving the capabilities of Small Language Models (SLMs) for long-horizon information retrieval and tool-integrated reasoning, with no explicit safety or alignment motivation."
7Dvmq7MhwU,TianQuan-S2S: A Subseasonal-to-Seasonal Global Weather Model via Incorporate Climatology State,3,False,0,0,0,0,,high,"The paper focuses on improving the accuracy of global weather forecasting and contains no safety, alignment, or risk mitigation objectives."
1J63FJYJKg,MrRoPE: Mixed-radix Rotary Position Embedding,3,False,0,0,0,0,,high,"The paper focuses on improving the context window extension of Rotary Position Embeddings for better long-sequence performance, which is a general capability improvement with no safety or alignment motivation."
lGaZimFbss,Matching without Group Barrier for Heterogeneous Treatment Effect Estimation,3,False,0,0,0,0,,high,"The paper focuses on causal inference and heterogeneous treatment effect estimation using optimal transport, which is a general machine learning capability for observational data analysis with no safety or alignment motivation."
WVliGyFwZv,Accelerated co-design of robots through morphological pretraining,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency of robot morphology and controller co-design using differentiable simulation and pretraining, with no mention of AI safety, alignment, or catastrophic risk."
KQPoMbxInu,Point-Focused Attention Meets Context-Scan State Space: Robust Biological Visual Perception for Point Cloud Representation,3,False,0,0,0,0,,high,"The paper focuses on improving point cloud representation learning using biologically inspired attention and state space models for better performance, with no mention of AI safety or alignment."
Nqjyrvh3pf,Incentives in Federated Learning with Heterogeneous Agents,3,False,0,0,0,0,,high,"The paper focuses on game-theoretic incentives and mechanism design for federated learning efficiency and cooperation, which is a standard ML optimization problem and not related to frontier AI safety or alignment."
ImRhA9xmay,YoNoSplat: You Only Need One Model for Feedforward 3D Gaussian Splatting,3,False,0,0,0,0,,high,"The paper focuses on 3D scene reconstruction and Gaussian Splatting, which is a general computer vision capability with no safety or alignment motivation."
mMK9pvQJxf,Improving Classifier-Free Guidance in Masked Diffusion: Low-Dim Theoretical Insights with High-Dim Impact,3,False,0,0,0,0,,high,"The paper focuses on improving the sample quality and theoretical understanding of Classifier-Free Guidance in masked diffusion models, which is a general capability/performance improvement task."
1Q85tfZaOa,Practical estimation of the optimal classification error with soft labels and calibration,2,False,0,0,0,0,,high,"The paper focuses on the technical problem of estimating Bayes error and model calibration in binary classification, which falls under standard reliability and usability (Class 2) rather than frontier AI safety."
pPWQUdhYSV,"Whatever Remains Must Be True: Filtering Drives Reasoning in LLMs, Shaping Diversity",3,False,0,0,0,0,,high,"The paper focuses on improving reasoning performance and diversity in LLMs using divergence measures, with no explicit safety or alignment motivation."
IaEqjWXd1d,AceReason-Nemotron 1.1: Advancing Math and Code Reasoning through SFT and RL Synergy,3,False,0,0,0,0,,high,"The paper focuses on improving math and code reasoning capabilities through SFT and RL scaling strategies, with no mention of safety, alignment, or risk mitigation."
4ZAwmIaA9y,GARLIC: Graph Attention-based Relational Learning of Multivariate Time Series in Intensive Care,2,False,0,0,0,0,,high,"The paper focuses on improving predictive accuracy and interpretability for clinical ICU data, which falls under standard XAI for narrow ML models (Class 2)."
0Z2l4XtTdz,PAS: Estimating the target accuracy before domain adaptation,3,False,0,0,0,0,,high,"The paper focuses on improving the performance and efficiency of domain adaptation in image classification, which is a general machine learning capability task with no safety or alignment motivation."
6hZAo6fZvJ,Distributional value gradients for stochastic environments,3,False,0,0,0,0,,high,"The paper focuses on improving sample efficiency and performance in stochastic environments using distributional reinforcement learning and Sobolev training, with no mention of AI safety, alignment, or catastrophic risk."
bJvwJahJeF,ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,3,False,0,0,0,0,,high,"The paper focuses on creating a benchmark and environment to evaluate the capabilities of multimodal autonomous agents in scientific workflows, with no mention of safety, alignment, or risk mitigation."
cBoYkLG3EJ,EvolProver: Advancing Automated theorem proving by Evolving Formalized Problems via Symmetry and Difficulty,3,False,0,0,0,0,,high,"The paper focuses on improving the performance and generalizability of automated theorem proving through data augmentation, which is a general capability improvement with no safety or alignment motivation."
n0wVbCxcob,IVEBench: Modern Benchmark Suite for Instruction-Guided Video Editing Assessment,3,False,0,0,0,0,,high,"The paper focuses on creating a benchmark for evaluating the capabilities and quality of instruction-guided video editing, with no mention of AI safety, alignment, or catastrophic risk."
KboFptAM8S,VEAttack: Downstream-agnostic Vision Encoder Attack against Large Vision Language Models,4,True,3,2,1,6,Adversarial Robustness,high,The paper focuses on developing a transferable adversarial attack against the vision encoders of LVLMs to evaluate and expose their vulnerabilities.
KOvRxAMBzV,Densemarks: Learning Canonical Embeddings for Human Heads Images via Point Tracks,3,False,0,0,0,0,,high,"The paper focuses on computer vision and 3D representation learning for human head images, with no mention of AI safety, alignment, or catastrophic risk."
jRWxvQnqUt,GraphUniverse: Synthetic Graph Generation for Evaluating Inductive Generalization,3,False,0,0,0,0,,high,"The paper focuses on improving the evaluation of inductive generalization and robustness in graph neural networks using synthetic data, which is a general capability and ML performance concern rather than an AI safety or alignment issue."
sPRK6XefjY,On the Lipschitz Continuity of Set Aggregation Functions and Neural Networks for Sets,2,False,0,0,0,0,,high,"The paper focuses on the mathematical property of Lipschitz continuity for set aggregation functions to analyze robustness and generalization in a general ML context, which falls under standard reliability and XAI capabilities."
hh91yCiqgS,General Exploratory Bonus for Optimistic Exploration in RLHF,3,False,0,0,0,0,,high,"The paper focuses on improving sample efficiency and exploration in RLHF to enhance performance, which falls under general capabilities rather than AI safety or alignment against catastrophic risks."
T1h5em349L,InftyThink: Breaking the Length Limits of Long-Context Reasoning in Large Language Models,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and length of long-context reasoning in LLMs, which is a general capability improvement with no explicit safety or alignment motivation."
iJ7cyttpVj,ARFlow: Auto-regressive Optical Flow Estimation for Arbitrary-Length Videos via Progressive Next-Frame Forecasting,3,False,0,0,0,0,,high,"The paper describes a computer vision method for optical flow estimation in videos and has no relation to AI safety, alignment, or risk mitigation."
Fllp8l6Puy,The Ideation-Execution Gap: Execution Outcomes of LLM-Generated versus Human Research Ideas,3,False,0,0,0,0,,high,"The paper evaluates the quality and execution outcomes of LLM-generated research ideas compared to human ideas, focusing on capabilities and utility rather than safety or alignment."
CwYxl2l2J6,Learning Nonlinear Causal Reductions to Explain Reinforcement Learning Policies,2,False,0,0,0,0,,high,"The paper focuses on XAI for reinforcement learning policies to explain behavior and failure modes in standard control tasks, which falls under Class 2."
yx3g4sF70y,Sharp Monocular View Synthesis in Less Than a Second,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and quality of 3D view synthesis from a single image, which is a general computer vision capability with no safety or alignment motivation."
GhJIa921j7,ByteFlow: Language Modeling through Adaptive Byte Compression without a Tokenizer,3,False,0,0,0,0,,high,The paper focuses on improving language modeling architecture by replacing fixed tokenizers with adaptive byte compression to enhance performance and efficiency.
zCZcbRsc4g,Avoid Catastrophic Forgetting with Rank-1 Fisher from Diffusion Models,3,False,0,0,0,0,,high,"The paper focuses on continual learning and mitigating catastrophic forgetting in diffusion models, which is a general capability/performance improvement task with no explicit AI safety or alignment motivation."
bn47cqGQ7l,GTool: Graph Enhanced Tool Planning with Large Language Model,3,False,0,0,0,0,,high,"The paper focuses on improving the capability of LLMs to plan and use tools via graph-based enhancements, with no mention of safety, alignment, or catastrophic risk."
l85ODqN0sc,V2P-Bench: Evaluating Video-Language Understanding with Visual Prompts for Better Human-Model Interaction,3,False,0,0,0,0,,high,"The paper focuses on improving video-language understanding and human-model interaction through a new benchmark, with no mention of AI safety, alignment, or catastrophic risk."
gpsczXOsHn,Global Resolution: Optimal Multi-Draft Speculative Sampling via Convex Optimization,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and latency of LLM decoding via speculative sampling and convex optimization, with no mention of safety, alignment, or risk mitigation."
TvP90DWijM,The Tutor-Pupil Augmentation: Enhancing Learning and Interpretability via Input Corrections,2,False,0,0,0,0,,high,"The paper focuses on a general model augmentation framework to improve predictive performance and provide diagnostic interpretability for standard ML models, which falls under Class 2."
0JfUjV1uIS,Geometric Image Editing via Effects-Sensitive In-Context Inpainting with Diffusion Transformers,3,False,0,0,0,0,,high,"The paper focuses on improving image editing capabilities (geometric transformations and lighting) using diffusion transformers, with no mention of AI safety, alignment, or risk mitigation."
XTHQqS7ObC,Proximal Diffusion Neural Sampler,3,False,0,0,0,0,,high,"The paper focuses on improving the sampling efficiency and mode exploration of diffusion models for target distributions, which is a general capability/algorithmic improvement in generative modeling with no safety or alignment motivation."
Oq3yRhFp0t,How Well Does GPT-4o Understand Vision? Evaluating Multimodal Foundation Models on Standard Computer Vision Tasks,3,False,0,0,0,0,,high,The paper is a standard benchmarking study of multimodal model capabilities on computer vision tasks with no safety or alignment motivation.
P7wBg0vPTh,RLVER: Reinforcement Learning with Verifiable Emotion Rewards for Empathetic Agents,3,False,0,0,0,0,,high,"The paper focuses on improving the emotional intelligence and empathy of LLMs for better dialogue performance, which is a general capability improvement rather than a safety or alignment effort against catastrophic risks."
8HH9dBOxwu,Unified Biomolecular Trajectory Generation via Pretrained Variational Bridge,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and fidelity of molecular dynamics simulations and protein-ligand docking using generative models, which is a general capability improvement in scientific ML with no safety or alignment motivation."
g9D9MgG7iW,Tools are under-documented: Simple Document Expansion Boosts Tool Retrieval,3,False,0,0,0,0,,high,"The paper focuses on improving tool retrieval performance through document expansion and specialized models, with no mention of AI safety, alignment, or catastrophic risk."
C6vpifaZvU,Graph Representational Learning: When Does More Expressivity Hurt Generalization?,3,False,0,0,0,0,,high,"The paper focuses on the theoretical relationship between expressivity and generalization in Graph Neural Networks, which is a standard machine learning capability and performance topic with no safety or alignment motivation."
OvCyDyW9kU,Personalized Collaborative Learning with Affinity-Based Variance Reduction,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and personalization of multi-agent learning through variance reduction and sample complexity analysis, with no mention of safety, alignment, or catastrophic risk."
yh7MV2V0ba,Variational Autoencoding Discrete Diffusion with Enhanced Dimensional Correlations Modeling,3,False,0,0,0,0,,high,"The paper focuses on improving the sample quality and efficiency of discrete diffusion models through latent variable modeling, with no mention of safety, alignment, or risk mitigation."
uWvLZqxjmx,NatADiff: Adversarial Boundary Guidance for Natural Adversarial Diffusion,4,True,3,2,1,6,Adversarial Robustness,high,The paper focuses on generating natural adversarial samples to understand and improve model robustness against attacks.
3loQDtveWI,Predicting LLM Output Length via Entropy-Guided Representations,3,False,0,0,0,0,,high,"The paper focuses on improving computational efficiency and throughput in LLM serving by predicting output length, which is a general capability/efficiency goal with no safety or alignment motivation."
qsthLLlCtl,PRISM: Enhancing PRotein Inverse Folding through Fine- Grained Retrieval on Structure-Sequence Multimodal Representations,3,False,0,0,0,0,,high,"The paper focuses on improving protein inverse folding capabilities using retrieval-augmented generation, which is a general capability improvement in bioinformatics with no safety or alignment motivation."
kWM0etSpBG,Evaluating GFlowNet from partial episodes for stable and flexible policy-based training,3,False,0,0,0,0,,high,"The paper focuses on improving the training stability and flexibility of Generative Flow Networks (GFlowNets) for sampling combinatorial candidates, which is a general machine learning capability improvement with no safety or alignment motivation."
a4S1nQay3b,Uncover Underlying Correspondence for Robust Multi-view Clustering,3,False,0,0,0,0,,high,"The paper focuses on improving the performance and robustness of multi-view clustering against noisy data, which is a standard machine learning capability task with no AI safety or alignment motivation."
vtDUomlazQ,Autoregressive Models Rival Diffusion Models at ANY-ORDER Generation,3,False,0,0,0,0,,high,"The paper focuses on improving generation flexibility and sample quality by reformulating autoregressive modeling to allow any-order generation, with no mention of AI safety or alignment."
cXo4vQudaa,Enhancing Trustworthiness of Fine-Tuned LLMs via Regularized Subset Selection,1,False,0,0,0,0,,high,"The paper focuses on traditional ML fairness, bias, and ethics (truthfulness, stereotypical bias, machine ethics) in standard SFT settings, which falls under Class 1."
2Td8r7KYK2,SoSBench: Benchmarking Safety Alignment on Six Scientific Domains,4,True,3,2,1,6,Dangerous Capability Evals,high,"The paper focuses on benchmarking the ability of frontier models to resist misuse in high-risk scientific domains, which is a direct evaluation of dangerous capabilities."
69fIHgLjyH,Learning to Answer from Correct Demonstrations,3,False,0,0,0,0,,high,"The paper focuses on improving the sample complexity and performance of imitation learning/SFT in a contextual bandit setting, with no mention of safety, alignment, or catastrophic risk."
VqjNYF9nbP,Learning to Generate Unit Test via Adversarial Reinforcement Learning,3,False,0,0,0,0,,high,"The paper focuses on improving the capability of LLMs to generate unit tests for software engineering purposes, with no mention of AI safety, alignment, or catastrophic risk."
89Ei7PVpNl,Foundational Automatic Evaluators: Scaling Multi-Task Generative Evaluator Training for Reasoning-Centric Domains,3,False,0,0,0,0,,high,"The paper focuses on improving the performance and scaling of automatic evaluators for reasoning tasks, which is a general capability improvement without an explicit AI safety or alignment motivation."
DulnZ7Dv82,Enhancing Sparse Event Detection in Healthcare Time-Series via Adaptive Gate of Context–Detail Interaction,2,False,0,0,0,0,,high,"The paper focuses on improving the reliability and accuracy of event detection in clinical healthcare time-series data, which falls under standard medical AI reliability and usability (Class 2)."
y3UkklvoW9,THEMIS: Towards Holistic Evaluation of MLLMs for Scientific Paper Fraud Forensics,2,False,0,0,0,0,,high,"The paper focuses on detecting academic fraud in scientific papers using MLLMs, which is a reliability/forensics application for current-generation models rather than a study of existential or frontier AI safety."
6IZAOTfXUT,Efficient Sliced Wasserstein Distance Computation via Adaptive Bayesian Optimization,3,False,0,0,0,0,,high,"The paper focuses on improving the computational efficiency of the Sliced Wasserstein Distance using Bayesian Optimization for generative modeling and geometry, with no mention of AI safety or alignment."
7AH0y1OtnC,MOSAIC: Multi-Subject Personalized Generation via Correspondence-Aware Alignment and Disentanglement,3,False,0,0,0,0,,high,"The paper focuses on improving the capabilities of multi-subject image generation through semantic alignment and disentanglement, with no mention of AI safety or alignment."
9QSWEdHDnT,Learning Global Hypothesis Space for Enhancing Synergistic Reasoning Chain,3,False,0,0,0,0,,high,"The paper focuses on improving the accuracy and reliability of Chain-of-Thought reasoning through topological data analysis, which is a general capability improvement rather than a safety or alignment effort."
ekmUkRYnkN,Scaling Multi-Task Bayesian Optimization with Large Language Models,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and scalability of multi-task Bayesian optimization using LLMs for initialization, with no explicit safety or alignment motivation."
adacb4JTIv,AlphaFlow: Understanding and Improving MeanFlow Models,3,False,0,0,0,0,,high,"The paper focuses on improving the convergence and performance of generative flow models for image synthesis, with no mention of safety, alignment, or risk mitigation."
BcjZCertEk,Learning-Time Encoding Shapes Unlearning in LLMs,4,True,3,2,1,6,Alignment Training,high,"The paper focuses on machine unlearning to remove harmful or private knowledge from LLMs, which falls under Alignment Training."
sQGlhjKUC0,To Sink or Not to Sink: Visual Information Pathways in Large Vision-Language Models,2,False,0,0,0,0,,high,"The paper focuses on understanding the internal information flow and attention mechanisms of LVLMs for the purpose of improving model understanding/capabilities, which falls under XAI/reliability rather than frontier AI safety."
