Paper Title,Subarea,Detailed Class
Thought Branches: Interpreting LLM Reasoning Requires Resampling,Interpretability & Understanding,Interpretability
Addressing divergent representations from causal interventions on neural networks,Interpretability & Understanding,Interpretability
Jailbreak Transferability Emerges from Shared Representations,"Robustness, Defense & Systemic Control",Adversarial Robustness
Understanding Cross-layer Contributions to Mixture-of-Experts Routing in LLMs,Interpretability & Understanding,Interpretability
Learning multimodal dictionary decompositions with group-sparse autoencoders,Interpretability & Understanding,Interpretability
What's the plan? Metrics for implicit planning in LLMs and their application to rhyme generation and question answering,Interpretability & Understanding,Interpretability
Constitutional Classifiers++: Efficient Production-Grade Defenses against Universal Jailbreaks,Threat Modeling & Evaluations,Safeguards
Learning to Interpret Weight Differences in Language Models,Interpretability & Understanding,Interpretability
Randomized Antipodal Search Done Right for Data Pareto Improvement of LLM Unlearning,Capability Control & Unlearning,Alignment Training
MCP-SafetyBench: A Benchmark for Safety Evaluation of Large Language Models with Real-World MCP Servers,"Robustness, Defense & Systemic Control",Red-Teaming
Learning to Lie: Adversarial Attacks on Human-AI Teams and LLMs,Threat Modeling & Evaluations,Scheming and Deception
A Guardrail for Safety Preservation: When Safety-Sensitive Subspace Meets Harmful-Resistant Null-Space,Threat Modeling & Evaluations,Safeguards
ContextBench: Modifying Contexts for Targeted Latent Activation and Behaviour Elicitation,Interpretability & Understanding,Interpretability
Beyond Prompt-Induced Lies: Investigating LLM Deception on Benign Prompts,Threat Modeling & Evaluations,Scheming and Deception
DualEdit: Mitigating Safety Fallback in LLM Backdoor Editing via Affirmation-Refusal Regulation,"Robustness, Defense & Systemic Control",Red-Teaming
GuardAlign: Test-time Safety Alignment in Multimodal Large Language Models,Threat Modeling & Evaluations,Safeguards
Is it Thinking or Cheating?  Detecting Implicit Reward Hacking by Measuring Reasoning Effort,Interpretability & Understanding,Monitoring
COMAL: A Convergent Meta-Algorithm for Aligning LLMs with General Preferences,Capability Control & Unlearning,Alignment Training
On Robustness of Vision-Language-Action Model against Multi-Modal Perturbations,"Robustness, Defense & Systemic Control",Adversarial Robustness
Optimal Robust Subsidy Policies for Irrational Agent in Principal-Agent MDPs,Agent Foundations & Alignment Theory,Agent Foundations
Output Supervision Can Obfuscate the Chain of Thought,Interpretability & Understanding,Monitoring
Deep Ignorance: Filtering Pretraining Data Builds Tamper-Resistant Safeguards into Open-Weight LLMs,Capability Control & Unlearning,Alignment Training
From Evaluation to Defense: Advancing Safety in Video Large Language Models,Capability Control & Unlearning,Alignment Training
Automatic Dialectic Jailbreak: A Framework for Generating Effective Jailbreak Strategies,"Robustness, Defense & Systemic Control",Red-Teaming
MCP Security Bench (MSB): Benchmarking Attacks Against Model Context Protocol in LLM Agents,"Robustness, Defense & Systemic Control",Adversarial Robustness
Rethinking Bottlenecks in Safety Fine-Tuning of Vision Language Models,Capability Control & Unlearning,Alignment Training
Spilling the Beans: Teaching LLMs to Self-Report Their Hidden Objectives,Threat Modeling & Evaluations,Scheming and Deception
Reliable Weak-to-Strong Monitoring of LLM Agents,Interpretability & Understanding,Monitoring
Language Models are Injective and Hence Invertible,Interpretability & Understanding,Interpretability
Be Careful When Fine-tuning On Open-Source LLMs: Your Fine-tuning Data Could Be Secretly Stolen!,"Robustness, Defense & Systemic Control",Adversarial Robustness
Video Unlearning via Low-Rank Refusal Vector,Capability Control & Unlearning,Alignment Training
Transferable and Stealthy Adversarial Attacks on Large Vision-Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness
OFMU: OPTIMIZATION-DRIVEN FRAMEWORK FOR MACHINE UNLEARNING,Capability Control & Unlearning,Alignment Training
Jailbreaking the Matrix: Nullspace Steering for Controlled Model Subversion,"Robustness, Defense & Systemic Control",Red-Teaming
ELEPHANT: Measuring and understanding social sycophancy in LLMs,Threat Modeling & Evaluations,Scheming and Deception
ASIDE: Architectural Separation of Instructions and Data in Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness
DUET: Distilled LLM Unlearning from an Efficiently Contextualized Teacher,Capability Control & Unlearning,Alignment Training
Get RICH or Die Scaling: Profitably Trading Inference Compute for Robustness,"Robustness, Defense & Systemic Control",Adversarial Robustness
LH-DECEPTION: Simulating and Understanding LLM Deceptive Behaviors in Long-Horizon Interactions,Threat Modeling & Evaluations,Scheming and Deception
Adversarial Attacks Already Tell the Answer: Directional Bias-Guided Test-time Defense for Vision-Language Models,"Robustness, Defense & Systemic Control",Adversarial Robustness
